Name,RA,Dec,NGC #,Constellation,Type,B (blue-filter magnitude),Diameter or dimensions (arcminutes),"Distance (1,000 lyr)"
M2,323.36003,-0.82154,7089,Aquarius,Globular cluster,6.5,12.9,37.9
M77,40.66961,-0.0133,1068,Cetus,Spiral galaxy,8.9,7x6,60000
M97,168.69614,55.02091,3587,Ursa Major,Planetary Nebula,9.9,3.4x3.3,2.6
M102,226.62158,55.76315,5866,Draco,Armless spiral galaxy,9.9,5.2x2.3,40000
M108,167.8768,55.67332,3556,Ursa Major,Spiral galaxy,10,8x1,45000
M109,179.39937,53.37548,3992,Ursa Major,Spiral galaxy,9.8,7x4,55000
