ngc,ra,dec
N1998,82.98883333,-48.72886111
N1999,83.49770833,-6.745944444
N2000,82.07916667,-71.91672222
N2001,82.325,-68.80013889
N2002,82.59166667,-66.91672222
N2003,82.72083333,-66.50002778
N2004,82.6875,-67.31677778
N2005,82.64583333,-69.78338889
N2006,82.84166667,-67.00011111
N2007,83.44625,-50.95277778
N2008,83.46666667,-50.99777778
N2009,82.83333333,-69.20025
N2010,82.8,-70.85005556
N2011,83.10833333,-67.55013889
N2012,81.54583333,-79.89472222
N2013,84.95416667,55.76675
N2014,83.1125,-67.71675
N2015,83.1125,-69.26683333
N2015?,83.07916667,-69.26683333
N2016,83.025,-69.96688889
N2017,84.265,-17.87611111
N2018,83.00416667,-71.10416667
N2019,83.10833333,-70.1835
N2020,83.33333333,-67.73355556
N2021,83.4,-67.48336111
N2022,84.84104167,9.063555556
N2023,84.78020833,-2.282916667
N2024,84.79166667,-1.866888889
N2025,83.3375,-71.75
N2026,85.00083333,20.11666667
N2027,83.75833333,-66.93355556
N2028,83.57083333,-69.98333333
N2029,83.89166667,-66.05022222
N2030,83.78208333,-67.58555556
N2031,83.58333333,-71.01669444
N2032,83.865,-67.60388889
N2033,83.73958333,-69.81083333
N2034,83.89166667,-66.93333333
N2034?,83.9375,-66.91683333
N2035,83.91208333,-67.61388889
N2036,83.75416667,-70.08355556
N2037,83.85833333,-69.75022222
N2038,83.81666667,-70.58347222
N2039,85.32083333,8.666722222
N2040,84.05625,-67.59583333
N2041,84.12916667,-67.01669444
N2042,84.11875,-68.95194444
N2042A?,84.14166667,-68.95008333
N2042B?,83.98333333,-69.00005556
N2042C?,83.97916667,-68.88338889
N2043,84.12083333,-70.10005556
N2043?,83.97916667,-70.15002778
N2044,84.10333333,-69.22611111
N2045,85.5515,12.86811111
N2046,84.0375,-70.26672222
N2047,84.1,-70.21677778
N2048,84.0875,-69.66686111
N2049,85.33333333,-30.1
N2050,84.2625,-69.40022222
N2051,84.19583333,-71.03347222
N2052,84.4125,-69.8
N2053,84.44166667,-67.43347222
N2054,85.72333333,-10.10222222
N2055,84.34583333,-69.46666667
N2056,84.29166667,-70.7
N2057,84.3625,-70.28358333
N2058,84.35416667,-70.18347222
N2059,84.375,-70.15011111
N2060,84.53333333,-69.18358333
N2061,85.22125,-34.02666667
N2062,85.02083333,-66.9
N2063,85.99583333,8.750222222
N2064,85.93604167,-0.012222222
N2065,84.53333333,-70.25025
N2066,84.55416667,-70.1835
N2067:,85.99166667,-0.100222222
N2067?,85.96875,-0.076944444
N2068,86.04583333,-0.050194444
N2069,84.75,-69.01688889
N2069?,84.77083333,-69
N2070,84.75959167,-69.12527222
N2071,86.13829167,-0.277055556
N2072,84.73333333,-70.25016667
N2073,85.94583333,-22.01805556
N2074,84.8625,-69.51680556
N2075,84.7375,-70.70019444
N2076,86.140875,-16.79966667
N2077,85.00416667,-69.66688889
N2078,85.025,-69.76669444
N2079,85.02916667,-69.78358333
N2080,85.04166667,-69.66672222
N2081,85.10416667,-69.41683333
N2082,85.39941667,-64.32366667
N2083,85.10416667,-69.75016667
N2084,85.1375,-69.78333333
N2085,85.14583333,-69.68355556
N2086,85.15833333,-69.68347222
N2087,85.83041667,-55.55305556
N2088,85.3125,-68.48341667
N2089,86.41208333,-17.61861111
N2090,86.30708333,-34.26805556
N2091,85.34166667,-69.45013889
N2092,85.42916667,-69.23355556
N2093,85.53333333,-68.93347222
N2094,85.62916667,-68.93344444
N2094?,85.5875,-68.38336111
N2095,85.67083333,-67.33344444
N2095?,85.72083333,-67.33344444
N2096,85.63333333,-68.46688889
N2096?,85.62083333,-68.46691667
N2097,85.9625,-62.80008333
N2098,85.68333333,-68.28355556
N2099,87.25833333,32.53347222
N2100,85.625,-69.23333333
N2101,86.31125,-52.10722222
N2102,85.68333333,-69.50013889
N2103,85.6,-71.35005556
N2104,86.47833333,-51.56916667
N2105,86.09166667,-66.93338889
N2106,87.1625,-21.57972222
N2107,85.95,-70.65019444
N2108,86.06666667,-69.2
N2109,86.15833333,-68.56666667
N2110,87.44291667,-7.4675
N2111,86.30416667,-71.00022222
N2112,87.79583333,-0.400027778
N2113,86.45833333,-69.78347222
N2114,86.6,-68.05022222
N2115nw=N2115A,87.53025,-50.59458333
N2115se=N2115B,87.53591667,-50.60394444
N2116,86.875,-68.51677778
N2117,86.96666667,-67.45025
N2118,86.99583333,-69.13355556
N2119,88.66279167,11.94386111
N2120,87.5625,-63.68338889
N2121,87.2375,-71.48355556
N2122,87.34166667,-70.06691667
N2123,87.89166667,-65.33333333
N2124,88.92916667,-20.08888889
N2125,87.825,-69.48344444
N2126,89.66666667,49.86666667
N2127,87.93333333,-69.36675
N2128,90.063125,57.63047222
N2129,89.51666667,23.31675
N2130,88.12083333,-67.3335
N2131,89.19583333,-26.65527778
N2132,88.75041667,-59.93333333
N2133,88.04583333,-71.18336111
N2134,88.15833333,-71.10011111
N2135,88.42083333,-67.43336111
N2136,88.34583333,-69.50002778
N2137,88.40416667,-69.48347222
N2138,88.68333333,-65.8335
N2139=I2154,89.76508333,-23.67275
N2140,88.63333333,-68.60013889
N2141,90.03333333,10.43358333
N2142,89.871375,-10.59722222
N2143,90.05,5.716666667
N2144,86.60625,-82.13944444
N2145,88.75833333,-70.90013889
N2146,92.67125,#VALUE!
N2146A,93.97016667,78.554
N2147,88.99583333,-68.20013889
N2148,89.51625,-59.12861111
N2149,90.28541667,-9.727777778
N2150,89.05,-69.56583333
N2151,89.16666667,-69.01677778
N2152,89.92916667,-50.73944444
N2153,89.4625,-66.40002778
N2154,89.42916667,-67.25022222
N2155,89.60833333,-65.46688889
N2156,89.52083333,-68.45025
N2157,89.48333333,-69.20002778
N2158,91.0875,24.10005556
N2159,89.57916667,-68.61683333
N2160,89.6125,-68.28347222
N2161,89.27916667,-74.35013889
N2162,90.05,-63.71672222
N2163,91.221875,18.66516667
N2164,89.79583333,-68.51666667
N2165,91.77083333,51.68341667
N2166,89.93333333,-67.93347222
N2167,91.13354167,-6.1955
N2168,91.25375,24.36666667
N2169,91.39166667,13.96677778
N2170,91.27220833,-6.390972222
N2171,89.9,-70.71672222
N2172,90.09166667,-68.63338889
N2173,89.7625,-72.96691667
N2174,91.60291667,20.66888889
N2175,91.66845833,20.49791667
N2176,90.3375,-66.85
N2177,90.35416667,-67.73333333
N2178,90.62291667,-63.76083333
N2179,91.47916667,-21.73805556
N2180,91.73333333,4.71675
N2181,90.64583333,-65.25019444
N2182,91.76916667,-6.316111111
N2183,92.08520833,-6.200222222
N2184,92.00208333,-3.483333333
N2185,92.14166667,-6.20025
N2185ne,92.16504167,-6.198666667
N2185sw,92.13333333,-6.216833333
N2186,92.35833333,5.46675
N2187ne,91.07316667,-69.57266667
N2187sw,91.04179167,-69.58369444
N2187sw+ne,91.05833333,-69.56686111
N2188,92.08791667,-34.09444444
N2189e?,92.425,1.066805556
N2189w?,92.35833333,1.083333333
N2190,90.64583333,-74.71677778
N2191,91.82083333,-52.50222222
N2192,92.95,39.86675
N2193,91.52916667,-65.0835
N2194,92.7375,12.81675
N2195,92.91195833,17.65541667
N2196,92.51125,-21.79305556
N2197,91.55,-67.08344444
N2198,92.82916667,1.000166667
N2199,91.47958333,-73.39444444
N2200,92.94666667,-43.64833333
N2201,93.00708333,-43.68972222
N2202,93.54166667,6.00025
N2203,91.60833333,-75.41691667
N2204,93.34166667,-18.63355556
N2205,92.5325,-62.52638889
N2206,93.49708333,-26.74694444
N2207,93.559875,-21.35391667
N2208,94.65022917,51.93427222
N2209,92.4625,-73.81680556
N2210,92.97083333,-69.10011111
N2211,94.07875,-18.51661111
N2212,94.100875,-18.49861111
N2213,92.8625,-71.50025
N2214,93.30416667,-68.23344444
N2215,94.59583333,-7.250166667
N2216,94.85,-22.06222222
N2217,94.91833333,-27.20805556
N2218,95.435,19.36916667
N2218?,95.43708333,19.37222222
N2219,95.31666667,-4.65
N2220,94.93166667,-44.73416667
N2221,94.86,-57.55416667
N2222,94.86416667,-57.50805556
N2223,95.625,-22.81
N2224,96.16666667,12.61680556
N2225,96.04583333,-9.6
N2225/6,96.05833333,-9.600194444
N2226,96.06291667,-9.611944444
N2227,95.9625,-21.975
N2228,95.255,-64.43333333
N2229,95.30083333,-64.93055556
N2230,95.31833333,-64.96694444
N2231,95.20833333,-67.48347222
N2232,96.38333333,-4.80025
N2233,95.36916667,-65.00694444
N2234,96.6125,16.75011111
N2235,95.54291667,-64.90722222
N2236,96.7375,6.85025
N2237,97.05833333,5.083361111
N2238,97.00333333,5.048333333
N2239=N2244,97.31695833,4.98
N2240,97.45416667,35.28341667
N2241,95.8,-68.88355556
N2242,97.61629167,44.81602778
N2243,96.92083333,-31.23358333
N2244=N2239,97.31695833,4.98
N2245,97.48179167,10.19455556
N2246,97.47541667,5.166111111
N2247,97.58041667,10.35991667
N2248,97.87125,26.34472222
N2249,96.53333333,-68.88341667
N2250,97.84166667,-5.033527778
N2251,97.97916667,8.400111111
N2252,98.00833333,5.400111111
N2253?,99.69066667,65.25605556
N2254,98.27916667,7.70025
N2255,98.04541667,-34.7725
N2256,100.197125,74.28944444
N2257,97.48333333,-64.28341667
N2258,100.317125,74.53541667
N2259,98.89166667,10.91686111
N2260,98.87916667,-1.416861111
N2261,99.10670833,8.790027778
N2261s,99.10833333,8.7825
N2262,99.2625,1.183444444
N2263,99.10541667,-24.8025
N2264,99.55,9.9335
N2265,99.72083333,11.95005556
N2266,100.0458333,27.01672222
N2267,99.74916667,-32.43361111
N2268,105.2062917,84.46288889
N2269,100.1583333,4.666805556
N2270,100.3291667,3.516888889
N2271,100.1975,-23.42527778
N2272,100.1741667,-27.40888889
N2273,101.4071708,60.90350833
N2273A,98.911125,60.12761111
N2273B,100.5107083,60.39427778
N2274,101.0007083,33.62208333
N2275,101.0025833,33.65411111
N2276,107.6062917,85.84847222
N2277,101.125,33.50666667
N2278,101.2475833,33.45030556
N2279,101.2826667,33.47019444
N2280,100.707,-27.58622222
N2281,101.1958333,41.13336111
N2282=I2172,101.06725,1.3705
N2283=?I2171,100.91925,-18.15658333
N2284:,101.4708333,33.25083333
N2284?,86.49833333,33.22361111
N2285,101.58,33.42222222
N2286,101.2916667,-3.083472222
N2287,100.9708333,-20.70002778
N2288,101.896,33.52166667
N2289,101.902425,33.53831111
N2290,101.9166667,33.49702778
N2291,101.9230375,33.58476111
N2292,101.4121667,-26.69019444
N2293,101.4252917,-26.69797222
N2294,101.9759583,33.58652778
N2295,101.3441667,-26.68030556
N2296=I0452,101.6035833,-16.845
N2297,101.0154167,-63.66361111
N2298,101.8039583,-35.94616667
N2299=N2302,102.3708333,-7.016777778
N2300,108.9420417,85.80855556
N2301,102.2958333,-0.516722222
N2302=N2299,102.3708333,-7.016777778
N2303,103.1573542,45.55848889
N2304,103.0708333,18.05005556
N2305,102.0791667,-64.21472222
N2306,103.0125,-7.133444444
N2307,102.1375,-64.27583333
N2308,103.7441708,45.27888333
N2309,103.4041667,-7.100138889
N2310,103.0675,-40.79888889
N2311,103.8291667,-4.5335
N2312,104.0083333,10.35022222
N2313,103.9085833,-7.876694444
N2314,105.9729583,75.40736111
N2315,104.6697083,50.66336111
N2316,104.31625,-7.707222222
N2316+N2317,104.3175417,-7.705916667
N2317,104.3191667,-7.704166667
N2318,104.2833333,-13.61686111
N2319,104.4791667,3.100222222
N2320,105.4579167,50.65702778
N2321,105.5273917,50.83269167
N2322,105.5355833,50.58686111
N2323,105.00125,-8.316666667
N2324,105.3833333,1.116722222
N2325,105.1745833,-28.62416667
N2326,106.0789167,50.76102778
N2326A,106.1768333,50.71105556
N2327,105.4429167,-11.23861111
N2328,105.2529167,-41.99472222
N2329,106.3400417,48.69591667
N2330?,106.434875,50.31605556
N2330?=I0457,106.4073042,50.23239722
N2331,105.9708333,27.33344444
N2332,106.4314583,50.26283333
N2333,106.2600417,35.24944444
N2334?,106.5074583,50.27483333
N2334?=I0465,106.9293333,50.33111111
N2335,106.1083333,-9.95
N2336,109.6134167,80.27641667
N2336A,117.265625,78.14475
N2337,106.6547083,44.53869444
N2338,106.3125,-5.633388889
N2339,106.3544167,18.86033333
N2340,106.8352917,50.25711111
N2341,106.559125,20.68405556
N2342,106.5850833,20.71794444
N2343,106.4333333,-10.53338889
N2344,107.1915625,47.25099167
N2345,106.5,-13.10022222
N2346,106.7061875,-0.724533333
N2347,107.81675,64.79902778
N2348,105.7625,-67.31683333
N2349,107.0958333,-8.500166667
N2350,107.6030833,12.35202778
N2351?,107.7875,-10.4
N2352,107.75125,-23.95361111
N2353,108.0291667,-10.16686111
N2354,108.025,-25.60005556
N2355=N2356,108.5416667,13.83344444
N2356=N2355,108.5416667,13.83344444
N2357,108.6660417,23.44727778
N2358,108.675,-17.01683333
N2358?,108.615,-16.94305556
N2359,109.05,-13.13336111
N2360,108.8625,-15.55
N2361,109.02,-13.11722222
N2362,109.1541667,-24.85019444
N2363,110.8033333,69.29291667
N2364,109.5875,-7.450083333
N2365,109.846875,22.17933333
N2366,110.900875,69.31625
N2366 bar,110.90775,69.31930556
N2366 knot,110.85525,69.29208333
N2366 knot ne,110.8680833,69.29341667
N2367,109.4875,-21.78341667
N2368,109.6833333,-10.26683333
N2369,109.0191667,-62.25305556
N2369A,109.55375,-62.8425
N2369B,109.9754167,-61.95833333
N2370,110.5007083,23.88238889
N2371,110.6030833,29.58794444
N2371/72,110.6066667,29.5905
N2372,110.61125,29.59138889
N2373,110.8393417,33.92482778
N2374,110.4041667,-13.15025
N2375,110.9748917,33.93333611
N2376,110.8983333,23.17388889
N2377,110.6395,-9.560444444
N2378,111.0360833,33.933
N2378 nw*,111.0354167,33.93402778
N2378 se*,111.037125,33.93244444
N2379,111.0454208,33.91332778
N2380=N2382,110.47375,-27.43027778
N2381,109.8629167,-62.97194444
N2382=N2380,110.47375,-27.43027778
N2383,110.625,-20.83358333
N2384,110.7541667,-20.91675
N2385,111.3034167,33.94077778
N2386,111.3445833,33.87777778
N2387 n knot,111.4041667,36.98472222
N2387 sw knot,111.403625,36.98030556
N2387nw,111.4065417,36.983
N2387se,111.4125,36.9775
N2388,111.4085,33.92211111
N2389,111.455125,#VALUE!
N2390,111.4534583,33.94005556
N2391,111.4673333,33.92927778
N2392,111.5553208,21.01549444
N2393,111.7049167,34.13227778
N2394,111.4791667,7.183444444
N2395,111.0958333,13.70016667
N2396,111.2529167,-11.61666667
N2397,110.3720833,-68.905
N2397A,110.325,-69.01944444
N2397B,110.5154167,-68.74861111
N2398,111.8094167,24.59283333
N2398 comp1,111.8102917,24.59225
N2398 comp2,111.798375,24.59661111
N2399,111.8193333,-0.108722222
N2400,111.84,-0.109666667
N2401,111.775,-13.85019444
N2402ne,112.01475,9.759194444
N2402sw,112.0092083,9.75275
N2403,113.0099583,#VALUE!
N2404,113.075375,65.72275
N2405,112.2925,26.01333333
N2405 comp,112.2970833,26.01222222
N2406,112.2230417,18.39458889
N2407,112.260175,18.44000556
N2408,113.50375,71.78333333
N2409,112.3445833,-17.08694444
N2410,112.9537917,32.93283333
N2411,112.9259583,18.39141667
N2412,112.9102917,8.657166667
N2413,112.7333333,-12.98338889
N2414,112.7291667,-15.33352778
N2415,113.4147917,35.35452778
N2416,113.2300417,11.72355556
N2417,112.3970833,-62.14555556
N2418,113.4335,17.99627778
N2419,113.689375,38.99533333
N2420,113.8541667,21.68341667
N2421,113.5083333,-20.5
N2422=N2478,113.5708333,-14.36672222
N2423,113.7,-13.75013889
N2424,114.3168333,39.34925
N2425,114,-14.75022222
N2426,114.859875,52.43727778
N2427,113.7541667,-47.52277778
N2428,114.2708333,-16.40022222
N2428?,114.2341667,-16.38416667
N2429=N2429A,114.9812083,52.47675
N2429B,114.99875,52.4675
N2430:,114.3541667,-16.16688889
N2430?,114.3083333,-16.22944444
N2431=N2436,115.3318,53.19609722
N2432,114.6708333,-18.95016667
N2433,114.9999583,9.377527778
N2434,113.74625,-69.17194444
N2435,115.260875,31.77127778
N2436=N2431,115.3318,53.19609722
N2437,114.8666667,-14.68347222
N2438,114.8855833,-14.61675
N2439,114.7041667,-31.56680556
N2440,114.9225,-18.09011111
N2441,116.5240417,73.14283333
N2442,114.1208333,-69.41686111
N2442/3,114.1372917,-69.41675
N2443,114.1666667,-69.40008333
N2444,115.8775917,39.15548333
N2445,115.8860417,39.13875
N2446,116.1724167,54.73605556
N2447,115.5958333,-23.73338889
N2448,115.6179167,-24.55944444
N2449,116.0670833,27.05444444
N2450,116.1164167,27.14347222
N2451,115.8625,-37.83352778
N2452,116.34875,-27.21116667
N2453,116.3833333,-27.06672222
N2454,116.9325833,16.49672222
N2455,116.7083333,-21.16680556
N2456,117.5458333,55.62569444
N2457,117.6913458,55.67808611
N2458,117.951,56.84297222
N2459,117.3283333,9.686666667
N2460,118.1484167,60.483
N2461,118.0939583,56.80661111
N2462,118.12,56.82022222
N2463,118.2892917,56.81063889
N2464,118.3733333,56.82472222
N2464 e*,118.3844167,56.82827778
N2464 m*,118.3744167,56.82366667
N2464 w*,118.3612083,56.82225
N2465,118.3421667,56.95588889
N2466,116.4133333,-71.28611111
N2467,117.5875,-26.30011111
N2468,118.5024583,56.49405556
N2468 comp,118.4976667,56.48652778
N2469,118.5025417,56.81522222
N2470,117.9255417,4.591333333
N2471,118.6258333,56.91055556
N2471 nw*,118.6224583,56.91344444
N2471 se*,118.62625,56.91027778
N2472,118.6625833,56.83661111
N2473,117.8798333,56.86827778
N2474,118.53325,52.99191667
N2475,118.5395333,52.99670833
N2476,118.34325,40.06194444
N2477,117.5958333,-38.4
N2478=N2422,113.5708333,-14.36672222
N2479,118.2125,-17.56686111
N2480,118.5455417,23.91391667
N2481,118.55875,23.90183333
N2482,118.2708333,-24.11680556
N2483,118.4041667,-27.75019444
N2484,118.7877083,37.92241667
N2485,118.5300417,7.61175
N2486,118.728875,25.29605556
N2487,118.829875,25.28497222
N2488,119.4350417,56.69219444
N2489,118.5625,-29.91686111
N2490,119.0595833,27.21416667
N2491:,118.9389583,8.119222222
N2491?,118.8819167,8.285638889
N2491??,118.9308333,8.280166667
N2492,119.1092917,27.16352778
N2493,119.2561667,39.96833333
N2494=I0487,119.1412917,-0.50125
N2495,119.2955833,39.97758333
N2496,118.9807083,8.164888889
N2497,119.5349167,57.08141667
N2498,119.1578333,25.11980556
N2499,119.0425,7.629166667
N2500,119.5355417,50.87663889
N2501,119.0466667,-14.21833333
N2502,118.6404167,-52.17305556
N2503,119.412625,22.53797222
N2504,119.3033333,5.7455
N2505,120.0630458,53.69053611
N2506,119.4125,-10.61691667
N2507,119.6965,15.84919444
N2508,119.8115,8.691694444
N2509,119.6416667,-18.90022222
N2510,119.8630833,9.625888889
N2511,119.8820417,9.534694444
N2512,120.03675,23.53266667
N2513,119.9225417,9.553527778
N2514,119.9984583,15.94922222
N2515,120.1095833,20.32861111
N2516,119.3083333,-60.61666667
N2517,120.1081917,-12.17736944
N2518,120.8983375,51.27636111
N2519,121.0594583,51.27386111
N2520=N2527,120.7291667,-28.00005556
N2520?,120.1379167,-28.04194444
N2521,121.188875,57.91572222
N2522,120.839125,17.85077778
N2523,122.3137083,73.73066667
N2523A,119.550125,74.18822222
N2523B,121.796125,73.71205556
N2523C,123.0186833,73.47232778
N2524,121.206,39.30333333
N2525,120.8154167,-11.28305556
N2526,121.06975,8.148944444
N2527=N2520,120.7291667,-28.00005556
N2528,121.01925,39.33952778
N2529,121.2333333,17.96666667
N2530,121.2647083,17.96411111
N2531,121.2875,17.96666667
N2532,121.763375,34.10516667
N2533,121.2583333,-29.73341667
N2534,122.2410833,55.82269444
N2535,122.0546667,25.35602778
N2536,122.0658333,25.32861111
N2537,122.427875,46.14277778
N2537A,122.53775,46.14511111
N2538,122.1897917,3.782805556
N2539,122.0708333,-12.66672222
N2540,122.4360833,26.51230556
N2541,122.75775,49.21452778
N2542,122.2308333,-12.77733333
N2543=I2232,122.4286667,#VALUE!
N2544,123.9772917,74.14675
N2545,122.8272917,21.50836111
N2546,122.6,-37.4335
N2547,122.1708333,-49.06666667
N2548,122.8125,-5.583583333
N2549,123.7360417,57.95936111
N2550,124.7059583,74.17283333
N2550A,125.7525417,73.91347222
N2551,124.80325,73.57419444
N2552,123.9184583,50.16513889
N2553,123.6667083,21.05872222
N2554,123.732375,23.62783333
N2555,123.840875,-0.901333333
N2556,124.0248833,21.09400833
N2557,124.0639167,21.59291667
N2558,124.0767833,20.66811667
N2559,123.7545833,-27.30138889
N2560,124.2374583,21.143
N2561,124.2441667,4.814666667
N2562,124.36925,21.29011111
N2563,124.41975,21.22661111
N2564,124.0757917,-21.65948889
N2565,124.2175833,22.18858333
N2566,124.1583333,-25.34166667
N2567,124.125,-30.48333333
N2568,124.1083333,-36.93358333
N2569,124.6102042,21.026875
N2570,124.61575,21.07013889
N2571,124.225,-29.58347222
N2572,124.6328333,19.30702778
N2573,40.78416667,-89.57
N2573A,341.8008333,-89.39555556
N2573B,340.1641667,-89.38333333
N2574,124.5958333,-8.759166667
N2575,124.94375,24.45783333
N2576,124.9901667,25.89977778
N2577,124.9453333,22.71386111
N2578,124.76375,-13.15805556
N2579,124.7466667,-36.05694444
N2579 se,124.7629167,-36.06972222
N2580,124.8583333,-30.13344444
N2581,125.4117917,18.75938889
N2582=I2359,125.5759583,20.49783333
N2583,125.1617083,-4.840972222
N2584,125.1929167,-4.808694444
N2585,125.2377917,-4.75325
N2586,125.2595833,-4.79
N2587,125.3416667,-29.33355556
N2588,125.2958333,-32.80022222
N2589,125.5166667,-8.600083333
N2590=I0507,125.61925,-0.428194444
N2591,127.6820417,78.19875
N2592,126.0335833,26.13533333
N2593,125.9882083,17.53927778
N2594,126.072125,26.04380556
N2595,126.1961833,21.64483056
N2596,126.1503333,17.4495
N2597,126.7607917,21.66988889
N2598,126.7823333,21.65677778
N2599,127.3144583,22.73111111
N2600,127.75875,52.88752778
N2601,126.2920833,-67.95305556
N2602,127.7004583,53.01180556
N2603,127.7931667,52.97638889
N2604=N2604A,127.5804167,29.70944444
N2604B,127.6335,29.67113889
N2605,127.8383333,53.00383333
N2606,127.96475,52.96155556
N2606 comp,127.9780833,52.95886111
N2607,127.7335667,27.14446944
N2608,128.0626667,28.64644444
N2609,127.1416667,-60.93347222
N2610,127.770125,-15.97761111
N2611,128.1288333,25.2005
N2612,127.8691667,-13.00305556
N2613,127.7966667,-22.80138889
N2614,129.3588333,73.15588889
N2615,128.0075417,-2.374666667
N2616,128.2580417,-1.677027778
N2617,128.2866667,-3.915
N2618,128.3293542,-0.880741667
N2619,128.626875,28.88055556
N2620,128.6264042,25.12108333
N2621,128.6623083,25.17507778
N2622,128.8045833,25.07083333
N2623,128.8553333,25.93030556
N2623A,128.8554167,25.92611111
N2623B,128.85625,25.93055556
N2624,128.8217375,19.90134722
N2625,128.8780417,19.892
N2626,128.425,-40.48358333
N2627,128.7958333,-29.76688889
N2628,129.3602083,23.7175
N2629,130.4841667,73.16836111
N2630,130.2533333,73.18333333
N2631,130.2533333,73.18333333
N2632,129.2520833,19.85
N2633,130.641125,74.28266667
N2634,130.734625,74.15102778
N2634A,130.7877917,74.12280556
N2635,129.1166667,-34.58352778
N2636,130.7445958,73.85517778
N2637,129.588625,19.86941667
N2638,129.805,37.40013889
N2639,130.0128375,#VALUE!
N2640,129.0208333,-54.94805556
N2641,130.6658,73.07947222
N2642,129.5595833,-3.943333333
N2643=I2390,129.7480042,19.88133889
N2644,129.7242917,5.16025
N2645,129.3458333,-46.05005556
N2646,131.2497083,73.64838889
N2647,129.9628542,19.83055833
N2648,129.9712083,14.46547222
N2649,130.2464167,34.89813889
N2650,131.2708333,70.48472222
N2651,130.2948333,11.95205556
N2652,130.1791667,-3.416916667
N2653,132.09,78.58305556
N2654,131.2957917,60.40608333
N2655,132.2856667,#VALUE!
N2656,131.043875,54.06052778
N2657,130.6398333,9.828277778
N2658,130.3541667,-32.46683333
N2659,130.225,-44.80005556
N2660,130.2458333,-47.01672222
N2661,130.810375,12.80258333
N2662,130.799175,-14.9385
N2663,130.78375,-33.61388889
N2664,131.1054167,12.78722222
N2665,130.9366667,-19.11972222
N2666?,131.6013333,44.89086111
N2667=I2410=N2667A,131.40125,19.20416667
N2667B=I2411,131.41375,19.22861111
N2668,131.5486625,36.89618889
N2669,131.2291667,-52.75022222
N2670,130.975,-48.61666667
N2671,131.0958333,-41.68352778
N2672,131.6290833,19.26058333
N2673,131.639,19.26020556
N2674,131.7168375,-14.10803889
N2675,132.1009583,53.80525
N2676,132.0325875,47.745525
N2677,131.7930458,19.19640278
N2678,131.8291667,11.51680556
N2679,132.1235,31.053
N2680,132.12625,31.05333333
N2680n,132.125875,31.054
N2680s,132.1257917,31.05258333
N2681,132.4907917,51.50313889
N2682,132.0025,12
N2683,132.3967083,33.60919444
N2684,132.849,49.35111111
N2685,132.9199583,58.92511111
N2686e=N2686B,132.8766667,49.33344444
N2686w=N2686A,132.8695417,49.33336111
N2687=N2687A,132.8990417,49.34708333
N2687B,132.8950833,49.34747222
N2688,132.9232542,49.31346111
N2689,132.98075,49.30630556
N2690,132.5271667,-2.414111111
N2691,132.8853333,39.7295
N2692,133.3425417,52.25836111
N2693,133.354125,51.53930556
N2694,133.3530833,51.52370556
N2695,132.9829167,-2.876666667
N2696?,132.0524042,-4.822088889
N2697,133.1166667,-2.796111111
N2698,133.2720833,-2.992222222
N2699,133.3235,-2.935861111
N2700,133.3307917,-2.924361111
N2701,133.860625,53.96477778
N2702,133.3475,-2.873111111
N2703,133.3170833,-3.114805556
N2704=I2424,133.3928333,39.57497222
N2705:,133.369875,-2.822611111
N2706,133.420125,-2.371527778
N2707:,133.3935,-2.874055556
N2708=N2727,133.403875,-3.167972222
N2709,133.4242458,-3.051155556
N2710,134.01925,55.90108333
N2711,133.6446667,17.481
N2712,134.037875,45.109
N2713,133.6845,3.11425
N2714,133.0720833,-59.02666667
N2715,135.4650833,78.28647222
N2716,133.74775,3.283611111
N2717,133.7070833,-24.48027778
N2718,134.0475,6.487527778
N2719,134.2817083,35.92336111
N2719A,134.2833333,35.91583333
N2719Am,134.2832917,35.91591667
N2719Anw,134.2802917,35.91727778
N2719As,134.28425,35.91422222
N2720,134.1041417,11.34421667
N2721,134.1118333,-4.707361111
N2722=N2733,134.0646667,-3.515722222
N2723,134.4081083,3.373502778
N2724,134.4742083,35.95855556
N2725,134.5837917,11.29363889
N2726,135.259875,60.13205556
N2727=N2708,133.403875,-3.167972222
N2728,134.7414833,11.27912778
N2729,134.715975,3.917280556
N2730,134.8660417,17.03625
N2731,134.865,8.498166667
N2732,136.7202083,79.39266667
N2733=N2722,134.0646667,-3.515722222
N2734,135.056825,17.06191667
N2735,134.9247083,26.13233333
N2735A,134.93855,26.13589722
N2736,134.6291667,-45.75002778
N2737,135.2798333,22.10505556
N2738,135.2825,22.16694444
N2739,135.6250833,51.94491667
N2740,135.63425,51.93561111
N2741,135.1138333,18.45977778
N2742=N2816,135.9090417,60.68097222
N2742A,136.4879583,62.45047222
N2743,135.495,25.20375
N2744=N2744A,135.4575,18.66333333
N2744B,135.4558333,18.65694444
N2745,135.4589292,18.45676944
N2746,135.72,35.57786111
N2747,135.62085,18.64200556
N2748,137.0047083,76.68138889
N2749,135.6340833,18.51347222
N2750,135.7170417,25.63719444
N2751,135.68025,18.46225
N2752,135.7238333,18.54002778
N2753n,136.05375,25.54527778
N2753s,136.0523333,25.54291667
N2754,135.7222083,-18.88476389
N2755,136.1813333,41.91105556
N2756,136.3521667,54.05169444
N2757?,135.7831667,-18.84783333
N2757??,135.7720833,-18.83388889
N2758,135.8052917,-18.8425
N2759,136.3675833,37.82394444
N2760,137.5083333,76.58344444
N2760??,139.66875,76.74527778
N2761,136.17325,18.63666667
N2762,136.606125,50.62205556
N2763,136.1170833,-15.29833333
