ngc,ra,dec
N0180,8.842791667,8.359638889
N0181,8.93125,29.19722222
N0182,8.909125,2.453638889
N0183,8.956583333,29.23619444
N0184,8.98375,29.17222222
N0185,9.048583333,#VALUE!
N0186,8.962333333,2.891277778
N0187,9.2475,-14.93055556
N0188,10.59166667,84.98333333
N0189,9.175,60.80016667
N0190,9.081666667,6.787888889
N0190A,9.08125,6.781944444
N0191,9.113875,-9.277194444
N0191A=I1563,9.117791667,-9.289416667
N0192,9.164958333,-0.58875
N0193,9.183895833,3.0565
N0194,9.183541667,2.762583333
N0195,9.265820833,-9.469094444
N0196,9.182916667,-0.637944444
N0197,9.187,-0.617061111
N0198,9.202791667,2.523138889
N0199,9.245166667,2.863888889
N0200,9.252041667,2.612944444
N0201,9.254583333,-0.585138889
N0202,9.272541667,3.261444444
N0203=N0211,9.271291667,3.167944444
N0204,9.291125,3.024861111
N0205,9.409875,41.41104167
N0206,9.451666667,40.46444444
N0207,9.290416667,-14.51166667
N0208,9.430416667,2.481388889
N0209,9.140304167,-18.88330833
N0210,9.516375,-14.14761111
N0211=N0203,9.271291667,3.167944444
N0212,9.484583333,-56.42694444
N0213,9.636875,16.19497222
N0214,9.703041667,25.22541667
N0215,9.634166667,-56.48861111
N0216,9.740416667,-21.31916667
N0217,9.759166667,-10.29611111
N0218,9.760166667,36.08466667
N0219,9.905833333,-0.630083333
N0220,9.648333333,-73.67777778
N0221,9.990875,#VALUE!
N0222,9.706666667,-73.65916667
N0223=I0044,9.925083333,-0.571361111
N0224,10.0002625,#VALUE!
N0225,10.175,61.50002778
N0226,10.05279167,32.30638889
N0227,10.01408333,-1.802805556
N0228,10.06466667,23.22936111
N0229,10.10704167,23.23533333
N0230,9.995,-23.90305556
N0231,9.8,-73.62638889
N0232,10.07141667,-23.83541667
N0233,10.23175,30.31316667
N0234,10.23129167,14.06877778
N0235=N0235A,10.100625,-23.81505556
N0235a=N0235B,10.10470833,-23.81930556
N0236,10.22129167,2.684055556
N0237,10.22583333,-0.3985
N0238,10.278375,-50.45722222
N0239,10.51916667,-4.033333333
N0240,10.61179167,5.839416667
N0241,10.41208333,-73.71444444
"N0241,242",10.41666667,-73.71666667
N0242,10.425,-73.71672222
N0243,10.832,29.68611111
N0244,10.81833333,-15.87061111
N0245,10.883875,-1.996416667
N0246,11.13533333,-12.14491667
N0247,11.164875,-21.03219444
N0247*,11.16591667,-21.03302778
N0247,11.1625,-21.03333333
N0248,10.89166667,-73.65005556
N0248n,10.89166667,-73.65
N0248s,10.9,-73.65013889
N0249,10.92083333,-73.35005556
N0250,11.1685,7.636916667
N0251,11.314625,19.32391667
N0252,11.33729167,27.35116667
N0253,11.27358333,-25.56105556
N0254,11.25875,-31.69416667
N0255,11.31791667,-11.74111111
N0256,11.01666667,-73.78027778
N0257,11.35791667,8.023916667
N0258,11.38370833,27.38401667
