abell_num,ra,dec
270,28.45,-2.816666667
271,28.525,1.766666667
272,28.825,33.95
273,28.525,-23.53333333
274,28.675,-6.266666667
275,28.95,14.66666667
276,29.275,41.36666667
277,28.95,-7.366666667
278,29.325,32.23333333
279,29.1,1.066666667
280,29.125,-1.766666667
281,29.275,-5.833333333
282,29.25,-10.1
283,29.225,-22.03333333
284,29.475,-0.633333333
285,29.475,-3.733333333
286,29.6,-1.766666667
287,30.1,-7.866666667
288,30.425,18.41666667
289,30.175,-24.63333333
290,30.55,21.01666667
291,30.4,-2.183333333
292,30.625,19.08333333
293,30.5,3.766666667
294,30.55,5.4
295,30.625,-1.083333333
296,30.6,-3.133333333
297,30.525,-25.58333333
298,30.7,-9.35
299,31.2,0.316666667
300,31.325,17.85
301,31.325,-2.1
302,31.375,-24.76666667
303,31.55,-3.316666667
304,31.625,4.483333333
305,31.625,-14.91666667
306,31.775,-11.8
307,32.025,10.46666667
308,32,-3.35
309,32.075,3
310,32.125,5.466666667
311,32.3,19.71666667
312,32.4,4.866666667
313,32.525,2.9
314,32.4,-12.9
315,32.525,-1
316,32.475,-13.48333333
317,32.55,-8.533333333
318,33.225,26.43333333
319,32.95,-12.1
320,33.275,25.38333333
321,32.925,0.383333333
322,33.375,7.5
323,33.4,-2.866666667
324,33.425,-1.533333333
325,33.25,-25.28333333
326,33.425,-7.116666667
327,33.275,-26.11666667
328,33.475,-6.866666667
329,33.675,-4.533333333
330,33.85,10.33333333
331,33.9,11.36666667
332,33.875,-13.6
333,34.15,16.85
334,34.075,-4.2
335,34.025,-12.15
336,34.15,-2.116666667
337,34.475,17.51666667
338,34.375,-11.26666667
339,34.45,-9.1
340,34.6,-12.66666667
341,34.75,-16.8
342,34.95,2.733333333
343,34.775,-21.85
344,35.425,21.36666667
345,35.35,13.6
346,35.625,26.4
347,36.45,41.86666667
348,36,-8.583333333
349,36.6,36.81666667
350,36.25,-9.816666667
351,36.35,-8.716666667
352,37.025,-2.183333333
353,36.875,-22.06666667
354,37.15,1.416666667
355,37.05,-11.93333333
356,37.275,4.466666667
357,37.35,13.23333333
358,37.55,-13.2
359,37.725,2.816666667
360,37.825,6.983333333
